Time (ps),Density (g/ml),Protein RMSD (nm),Protein Dipole (Debye),Ca-Total Protein O CN (0.3nm),Ca-Carboxylate O CN
445.00000132672557,1.0212594006719509,0.2106586,,25,19
446.000001329707,1.0226719608732722,0.20693533,,25,19
447.0000013326884,1.0198478650456229,0.2056576,,25,19
448.0000013356698,1.0210507921628889,0.20079806,,25,19
449.0000013386512,1.0207775562732375,0.21165565,,25,19
450.0000013416326,1.0217560280334048,0.21394417,,25,19
451.000001344614,1.019649880080776,0.22369011,,25,19
452.0000013475954,1.0163905141074072,0.21624522,,25,19
453.00000135057684,1.0183086620511663,0.21404609,,25,19
454.0000013535582,1.019606036231772,0.21279824,,25,19
455.00000135653966,1.0193346278770288,0.21819174,,25,19
456.00000135952104,1.0179195646968817,0.22243364,,25,19
457.0000013625025,1.0203701189413805,0.22269368,,25,19
458.00000136548385,1.0194283237411077,0.22549756,,25,19
459.00000136846523,1.0194220244994567,0.22019844,,19,15
460.0000013714467,1.0182918887834962,0.21848965,,25,19
461.00000137442805,1.019803222050503,0.21829803,,25,19
462.0000013774095,1.0213488593046516,0.22295101,,20,15
463.00000138039087,1.0229548382080673,0.2172596,,20,15
464.0000013833723,1.020654250738071,0.2157687,,25,19
465.0000013863537,1.0192538014556967,0.21862113,,22,16
466.0000013893351,1.019413100662625,0.22013934,,21,16
467.0000013923165,1.0195771584229243,0.20753464,,21,15
468.0000013952979,1.02056408463606,0.2130239,,20,15
469.0000013982793,1.0204720893570567,0.2126694,,20,15
470.0000014012607,1.0198481276591855,0.21595232,,25,19
471.00000140424214,1.0211281258901732,0.2135705,,25,19
472.0000014072235,1.020004661384719,0.20925708,,25,19
473.00000141020496,1.0201294385523323,0.20986569,,25,19
474.00000141318634,1.0180471458192166,0.2066417,,25,19
475.0000014161678,1.0212662412572944,0.20167604,,25,19
476.00000141914916,1.020889836795967,0.1895722,,25,19
477.00000142213054,1.0206106121729348,0.18979245,,25,19
478.000001425112,1.015826301776309,0.19010611,,25,19
479.00000142809336,1.0183870295420374,0.19904259,,26,20
480.0000014310748,1.0206865869421877,0.19108216,,25,19
481.0000014340562,1.0215275447270882,0.19231142,,25,19
482.0000014370376,1.0190667263238329,0.18725556,,26,20
483.000001440019,1.0184992217508544,0.18105842,,25,19
484.00000144300043,1.0193871171426707,0.1764184,,25,19
485.0000014459818,1.0178480552403124,0.17760828,,24,18
486.0000014489632,1.0211954704625466,0.18711397,,25,19
487.0000014519446,1.0237869383927107,0.1928443,,25,19
488.000001454926,1.0218689786996367,0.18080135,,25,19
489.00000145790744,1.021133913081782,0.17895696,,25,19
490.0000014608888,1.0171754608869512,0.18868391,,25,19
491.00000146387026,1.018555061865427,0.17729244,,25,19
492.00000146685164,1.0236151152225896,0.18120019,,25,19
493.0000014698331,1.0237481362511476,0.18641792,,25,19
494.00000147281446,1.0221120502175502,0.18725967,,25,19
495.00000147579584,1.0242664518039293,0.19147886,,25,19
496.0000014787773,1.0257136703135492,0.19195835,,25,19
497.00000148175866,1.0251832713017865,0.18505226,,25,19
498.0000014847401,1.025004525940106,0.18330923,,25,19
499.0000014877215,1.023432776624621,0.19093154,,25,19
500.0000014907029,1.0233203868535559,0.1906827,,25,19
501.0000014936843,1.022021975725189,0.18971083,,25,19
502.00000149666573,1.0237119754763164,0.18698782,,25,19
503.0000014996471,1.02376159799649,0.18980816,,25,19
504.0000015026285,1.0230355287749724,0.18968007,,25,19
505.00000150560993,1.0227104450415168,0.18820368,,24,18
506.0000015085913,1.021681000080159,0.19990066,,25,19
507.00000151157275,1.0200782117790188,0.19249512,,25,19
508.0000015145541,1.0219614052644281,0.19965723,,25,19
509.00000151753557,1.020665029321006,0.19053504,,25,19
510.00000152051695,1.019987588197306,0.19526623,,25,19
511.0000015234984,1.0232233122238836,0.19443385,,25,19
512.0000015264798,1.0219516617676616,0.19702972,,25,19
513.0000015294612,1.019042066258015,0.20156643,,25,19
514.0000015324425,1.0218431749824344,0.19644961,,25,19
515.000001535424,1.021511227097817,0.20096715,,25,19
516.0000015384054,1.0199497658776726,0.1972219,,25,19
517.0000015413868,1.0221499794862403,0.19214833,,25,19
518.0000015443682,1.0235976975087466,0.18967402,,25,19
519.0000015473496,1.0264107551681065,0.19502492,,25,19
520.000001550331,1.0243549410114525,0.18517,,25,19
521.0000015533125,1.022822481865786,0.1870294,,25,19
522.0000015562938,1.0195679702578946,0.18606812,,25,19
523.0000015592752,1.0210621023905486,0.19537349,,25,19
524.0000015622567,1.0170637247146286,0.19487652,,24,18
525.000001565238,1.017732554112905,0.19307356,,25,19
526.0000015682194,1.0204471211177735,0.19808862,,24,18
527.0000015712009,1.0180586737058734,0.19214468,,25,19
528.0000015741823,1.021012128227616,0.18695658,,25,19
529.0000015771636,1.0206584569962813,0.1798158,,25,19
530.0000015801451,1.0189431716479105,0.17700565,,25,19
531.0000015831265,1.0175086731351313,0.18129815,,25,19
532.0000015861078,1.0165826872843848,0.1818466,,25,19
533.0000015890893,1.0175309273685897,0.17959361,,25,19
534.0000015920707,1.01762937741,0.18340188,,25,19
535.0000015950521,1.0182368540863518,0.17536065,,25,19
536.0000015980335,1.0175016042791363,0.17814174,,25,19
537.0000016010149,1.0219477117366904,0.17230953,,25,19
538.0000016039963,1.0217936764057953,0.17558348,,25,19
539.0000016069778,1.0214906989610817,0.17547898,,25,19
540.0000016099591,1.0190441649560444,0.1748617,,25,19
541.0000016129405,1.018589144692485,0.17570546,,25,19
542.000001615922,1.0240084384945267,0.173475,,25,19
543.0000016189033,1.020927179634823,0.17270413,,25,19
544.0000016218847,1.021267819862588,0.17697053,,25,19
545.0000016248662,1.0181658389810644,0.17741875,,25,19
546.0000016278476,1.0210413232635476,0.17638105,,25,19
547.0000016308289,1.0167477072614028,0.17470816,,25,19
548.0000016338104,1.0204300380549511,0.17701994,,25,19
549.0000016367918,1.0183508589316765,0.1810997,,25,19
550.0000016397731,1.0190160953468244,0.17801583,,25,19
551.0000016427546,1.0192506525473022,0.18079737,,25,19
552.000001645736,1.0175002952389156,0.17998935,,25,19
553.0000016487174,1.0183891264415443,0.1757523,,25,19
554.0000016516988,1.0198922480177073,0.17675732,,25,19
555.0000016546802,1.0200343433714019,0.18179633,,25,19
556.0000016576616,1.0228306546039068,0.17700666,,25,19
557.0000016606431,1.021558338619411,0.1773315,,25,19
558.0000016636244,1.018020684737676,0.17252037,,25,19
559.0000016666058,1.0200164815069117,0.17045422,,25,19
560.0000016695873,1.020334117168914,0.17579043,,25,19
561.0000016725686,1.018089328251229,0.17752418,,25,19
562.00000167555,1.0186945489028347,0.17568178,,25,19
563.0000016785315,1.021367541690797,0.18153833,,23,17
564.0000016815129,1.0201102609483412,0.17926486,,25,19
565.0000016844942,1.0197362624432182,0.1786364,,25,19
566.0000016874757,1.0192574751985515,0.17583701,,25,19
567.0000016904571,1.021539125190961,0.18003872,,25,19
568.0000016934384,1.0192587872538497,0.1802217,,25,19
569.0000016964199,1.0192803052820518,0.17785367,,25,19
570.0000016994013,1.0203125694730066,0.1817871,,25,19
571.0000017023827,1.0220838678790012,0.18296072,,25,19
